USAState,TotalCases,TotalDeaths,ActiveCases,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
New York,373622,29451.0,279305,19206.0,1514.0,1774733.0,91229.0
New Jersey,157015,11197.0,131911,17678.0,1261.0,635892.0,71592.0
Illinois,113195,4923.0,104657,8933.0,388.0,786794.0,62090.0
California,99776,3852.0,75084,2525.0,97.0,1696396.0,42933.0
Massachusetts,93693,6473.0,54671,13593.0,939.0,545481.0,79141.0
Pennsylvania,72876,5194.0,26080,5693.0,406.0,426011.0,33277.0
Texas,57744,1563.0,19776,1991.0,54.0,944405.0,32570.0
Michigan,55104,5266.0,16670,5518.0,527.0,537698.0,53841.0
Florida,52255,2259.0,41482,2433.0,105.0,924920.0,43064.0
Maryland,47687,2333.0,42071,7888.0,386.0,254487.0,42094.0
Georgia,43983,1895.0,41391,4143.0,178.0,514945.0,48500.0
Connecticut,41303,3769.0,30912,11585.0,1057.0,225362.0,63210.0
Virginia,39342,1236.0,32879,4609.0,145.0,298270.0,34945.0
Louisiana,38068,2701.0,6667,8189.0,581.0,341026.0,73358.0
Ohio,33075,2012.0,25049,2830.0,172.0,339400.0,29036.0
Indiana,32078,2004.0,28120,4765.0,298.0,230749.0,34275.0
Colorado,24565,1352.0,21491,4266.0,235.0,157036.0,27269.0
North Carolina,24454,801.0,8699,2332.0,76.0,352331.0,33593.0
Minnesota,21960,908.0,5529,3894.0,161.0,209898.0,37218.0
Washington,21209,1086.0,14169,2785.0,143.0,332791.0,43703.0
Tennessee,20965,343.0,7288,3070.0,50.0,403504.0,59085.0
Iowa,17704,478.0,7371,5611.0,152.0,135307.0,42886.0
Arizona,16783,807.0,15906,2306.0,111.0,273070.0,37516.0
Wisconsin,15863,517.0,5941,2724.0,89.0,216737.0,37224.0
Alabama,15650,580.0,7119,3192.0,118.0,194652.0,39699.0
Rhode Island,14210,634.0,12492,13414.0,598.0,135363.0,127778.0
Mississippi,13731,652.0,3678,4614.0,219.0,154624.0,51954.0
Veteran Affairs,13489,1141.0,1652,,,172046.0,
Nebraska,12619,153.0,12117,6523.0,79.0,90748.0,46913.0
Missouri,12616,696.0,8874,2056.0,113.0,179943.0,29319.0
South Carolina,10416,446.0,3927,2023.0,87.0,178119.0,34595.0
Kansas,9264,210.0,5093,3180.0,72.0,81399.0,27940.0
US Military,9173,35.0,4024,,,,
Delaware,9066,335.0,3929,9310.0,344.0,54914.0,56394.0
Kentucky,8951,394.0,5442,2004.0,88.0,193576.0,43328.0
Utah,8620,101.0,3173,2689.0,32.0,198592.0,61945.0
District Of Columbia,8334,440.0,6814,11809.0,623.0,42055.0,59589.0
Nevada,7998,396.0,1750,2597.0,129.0,142833.0,46372.0
New Mexico,7130,325.0,4241,3400.0,155.0,180646.0,86152.0
Arkansas,6180,119.0,1729,2048.0,39.0,115499.0,38273.0
Oklahoma,6137,318.0,994,1551.0,80.0,161033.0,40696.0
Navajo Nation,4689,157.0,4532,,,27855.0,
South Dakota,4653,50.0,1075,5260.0,57.0,37038.0,41867.0
New Hampshire,4231,214.0,1467,3112.0,157.0,74263.0,54617.0
Oregon,3967,148.0,1925,941.0,35.0,115538.0,27393.0
Federal Prisons,3629,64.0,-28,,,,
Puerto Rico,3324,129.0,2345,981.0,38.0,13022.0,3845.0
Idaho,2699,81.0,518,1510.0,45.0,42776.0,23936.0
North Dakota,2457,54.0,852,3224.0,71.0,66854.0,87728.0
Maine,2109,79.0,712,1569.0,59.0,40609.0,30210.0
West Virginia,1854,74.0,600,1035.0,41.0,87811.0,48998.0
Vermont,967,54.0,65,1550.0,87.0,30423.0,48756.0
Wyoming,850,13.0,230,1469.0,22.0,21502.0,37152.0
Hawaii,643,17.0,33,454.0,12.0,51202.0,36163.0
Montana,479,17.0,21,448.0,16.0,33834.0,31657.0
Alaska,411,10.0,39,562.0,14.0,44964.0,61464.0
Guam,167,5.0,23,,,4920.0,
Grand Princess Ship,103,3.0,100,,,,
United States Virgin Islands,69,6.0,2,,,1457.0,
Diamond Princess Ship,46,,46,,,46.0,
Northern Mariana Islands,22,2.0,7,,,4757.0,
Wuhan Repatriated,3,,3,,,3.0,
